1	18450192	-42.90	12.13	0.10	-0.10
1	18518472	-8.46	-39.86	0.00	0.00
1	18523240	33.61	-19.44	0.00	0.00
1	18523439	40.02	-22.08	0.20	-0.10
1	18523486	-8.86	-7.52	-3.40	-9.20
1	18523493	-3.48	-16.47	0.00	0.00
1	18523505	-6.43	-23.74	0.00	0.00
1	18523567	0.89	-14.74	0.10	0.10
1	18523606	-0.93	2.58	-2.30	-6.30
1	18523610	-39.65	21.31	0.20	-0.10
1	18523614	-1.43	16.01	-0.40	-4.40
1	18523627	-1.53	28.24	0.00	-2.80
1	18523643	6.37	6.79	1.40	-5.00
1	18523662	-2.96	45.96	0.00	-0.10
1	18523664	1.55	22.69	-0.60	-4.30
1	18523685	-2.87	-23.74	0.00	0.10
1	18523710	-5.97	-29.34	0.00	0.10
1	18523731	-10.80	-33.32	0.20	0.50
1	18523745	4.50	18.97	-0.10	-5.30
2	18450192	-42.89	12.12	0.20	-0.10
2	18518472	-8.43	-39.85	0.00	0.00
2	18523240	33.60	-19.45	-0.10	0.00
2	18523439	40.04	-22.12	0.30	-0.10
2	18523486	-9.17	-8.52	-3.30	-9.30
2	18523493	-3.49	-16.46	0.00	0.00
2	18523505	-6.44	-23.73	0.00	0.00
2	18523567	0.87	-14.75	0.10	0.10
2	18523606	-1.27	1.66	-2.50	-6.50
2	18523610	-39.60	21.28	0.20	-0.10
2	18523614	-1.53	15.52	-0.50	-4.40
2	18523627	-1.54	27.89	0.00	-2.80
2	18523643	6.51	6.31	1.50	-5.00
2	18523662	-2.95	45.99	0.00	-0.10
2	18523664	1.61	22.33	-0.70	-4.20
2	18523685	-2.86	-23.75	0.00	0.10
2	18523710	-5.93	-29.35	0.00	0.10
2	18523731	-10.78	-33.32	0.20	0.40
2	18523745	4.53	18.42	0.00	-5.30
3	18450192	-42.86	12.12	0.20	-0.10
3	18518472	-8.42	-39.87	-0.10	-0.10
3	18523240	33.63	-19.45	0.10	-0.10
3	18523439	40.00	-22.09	0.15	-0.05
3	18523486	-9.53	-9.46	-3.40	-9.50
3	18523493	-3.50	-16.48	0.00	-0.10
3	18523505	-6.43	-23.71	0.00	0.10
3	18523567	0.88	-14.75	0.00	0.00
3	18523606	-1.42	1.08	-2.30	-6.10
3	18523610	-39.66	21.29	-0.20	0.10
3	18523614	-1.57	14.98	-0.60	-5.00
3	18523627	-1.48	27.56	0.00	-3.00
3	18523643	6.67	5.79	1.70	-5.10
3	18523662	-2.99	46.02	0.00	-0.10
3	18523664	1.59	21.98	-0.60	-4.10
3	18523685	-2.84	-23.76	0.00	-0.10
3	18523710	-5.95	-29.36	0.00	0.10
3	18523731	-10.77	-33.25	0.20	0.40
3	18523745	4.51	17.84	0.00	-5.50
4	18450192	-42.91	12.14	0.00	0.00
4	18518472	-8.43	-39.87	0.00	-0.10
4	18523240	33.64	-19.44	0.00	0.00
4	18523439	39.97	-22.07	0.00	0.00
4	18523486	-9.83	-10.37	-3.00	-9.20
4	18523493	-3.50	-16.49	0.00	-0.10
4	18523505	-6.42	-23.69	0.00	0.10
4	18523567	0.87	-14.78	0.00	0.00
4	18523606	-1.67	0.36	-2.50	-6.80
4	18523610	-39.73	21.33	-0.50	0.20
4	18523614	-1.63	14.46	-0.70	-5.00
4	18523627	-1.47	27.21	0.10	-3.30
4	18523643	6.84	5.31	1.80	-4.90
4	18523662	-2.97	45.97	0.00	-0.30
4	18523664	1.56	21.60	-0.50	-3.80
4	18523685	-2.85	-23.83	-0.10	-0.20
4	18523710	-5.96	-29.33	0.10	0.10
4	18523731	-10.77	-33.23	0.10	0.30
4	18523745	4.53	17.26	0.10	-5.60
5	18450192	-42.88	12.13	0.00	0.00
5	18518472	-8.44	-39.86	0.00	-0.10
5	18523240	33.63	-19.34	-0.10	0.00
5	18523439	39.98	-22.07	-0.10	0.00
5	18523486	-10.20	-11.44	-2.90	-9.40
5	18523493	-3.50	-16.51	0.00	-0.10
5	18523505	-6.40	-23.67	0.00	0.10
5	18523567	0.91	-14.75	0.00	0.00
5	18523606	-1.94	-0.56	-2.60	-6.90
5	18523610	-39.65	21.32	-0.50	0.20
5	18523614	-1.70	13.90	-0.80	-5.00
5	18523627	-1.43	26.85	0.20	-3.30
5	18523643	7.04	4.68	1.90	-5.00
5	18523662	-2.92	45.86	0.10	-0.30
5	18523664	1.59	21.31	-0.50	-3.80
5	18523685	-2.79	-23.87	-0.10	-0.20
5	18523710	-6.03	-29.33	0.00	0.10
5	18523731	-10.75	-33.18	0.10	0.30
5	18523745	4.50	16.73	0.20	-5.60
6	18450192	-42.88	12.14	0.00	0.00
